2023-09-25 08:46:25,153 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 89,  41.6309561767631,  -71.00221179115795, Road CLOSED, }, Latitude= 41.6309561767631, Longitude= -71.00221179115795,  (at simulation time 15.900,000,000 s)
2023-09-25 08:46:25,156 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 90,  41.63100502317745,  -71.0022419618362, Road CLOSED, }, Latitude= 41.63100502317745, Longitude= -71.0022419618362,  (at simulation time 16.000,000,000 s)
2023-09-25 08:46:25,156 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 91,  41.63100502317745,  -71.0022419618362, Road CLOSED, }, Latitude= 41.63100502317745, Longitude= -71.0022419618362,  (at simulation time 16.100,000,000 s)
2023-09-25 08:46:25,156 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 92,  41.63100502317745,  -71.0022419618362, Road CLOSED, }, Latitude= 41.63100502317745, Longitude= -71.0022419618362,  (at simulation time 16.200,000,000 s)
2023-09-25 08:46:25,156 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 93,  41.63100502317745,  -71.0022419618362, Road CLOSED, }, Latitude= 41.63100502317745, Longitude= -71.0022419618362,  (at simulation time 16.300,000,000 s)
2023-09-25 08:46:25,156 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 94,  41.63100502317745,  -71.0022419618362, Road CLOSED, }, Latitude= 41.63100502317745, Longitude= -71.0022419618362,  (at simulation time 16.400,000,000 s)
2023-09-25 08:46:25,157 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 95,  41.63100502317745,  -71.0022419618362, Road CLOSED, }, Latitude= 41.63100502317745, Longitude= -71.0022419618362,  (at simulation time 16.500,000,000 s)
2023-09-25 08:46:25,157 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 96,  41.63100502317745,  -71.0022419618362, Road CLOSED, }, Latitude= 41.63100502317745, Longitude= -71.0022419618362,  (at simulation time 16.600,000,000 s)
2023-09-25 08:46:25,157 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 97,  41.63100502317745,  -71.0022419618362, Road CLOSED, }, Latitude= 41.63100502317745, Longitude= -71.0022419618362,  (at simulation time 16.700,000,000 s)
2023-09-25 08:46:25,157 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 98,  41.63100502317745,  -71.0022419618362, Road CLOSED, }, Latitude= 41.63100502317745, Longitude= -71.0022419618362,  (at simulation time 16.800,000,000 s)
2023-09-25 08:46:25,157 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 99,  41.63100502317745,  -71.0022419618362, Road CLOSED, }, Latitude= 41.63100502317745, Longitude= -71.0022419618362,  (at simulation time 16.900,000,000 s)
2023-09-25 08:46:25,161 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 100,  41.631053328432884,  -71.0022743729879, Road CLOSED, }, Latitude= 41.631053328432884, Longitude= -71.0022743729879,  (at simulation time 17.000,000,000 s)
2023-09-25 08:46:25,161 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 101,  41.631053328432884,  -71.0022743729879, Road CLOSED, }, Latitude= 41.631053328432884, Longitude= -71.0022743729879,  (at simulation time 17.100,000,000 s)
2023-09-25 08:46:25,161 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 102,  41.631053328432884,  -71.0022743729879, Road CLOSED, }, Latitude= 41.631053328432884, Longitude= -71.0022743729879,  (at simulation time 17.200,000,000 s)
2023-09-25 08:46:25,161 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 103,  41.631053328432884,  -71.0022743729879, Road CLOSED, }, Latitude= 41.631053328432884, Longitude= -71.0022743729879,  (at simulation time 17.300,000,000 s)
2023-09-25 08:46:25,162 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 104,  41.631053328432884,  -71.0022743729879, Road CLOSED, }, Latitude= 41.631053328432884, Longitude= -71.0022743729879,  (at simulation time 17.400,000,000 s)
